species	Rheo	n	total
Lactococcus_lactis	Hard	131	278
Lactococcus_lactis	Semihard	108	278
Lactococcus_lactis	Soft	22	278
Lactococcus_lactis	Very_hard	17	278
Streptococcus_thermophilus	Hard	75	276
Streptococcus_thermophilus	Semihard	113	276
Streptococcus_thermophilus	Soft	37	276
Streptococcus_thermophilus	Very_hard	51	276
Lactobacillus_delbrueckii	Hard	39	212
Lactobacillus_delbrueckii	Semihard	83	212
Lactobacillus_delbrueckii	Soft	30	212
Lactobacillus_delbrueckii	Very_hard	60	212
Lacticaseibacillus_paracasei	Hard	36	191
Lacticaseibacillus_paracasei	Semihard	94	191
Lacticaseibacillus_paracasei	Soft	3	191
Lacticaseibacillus_paracasei	Very_hard	58	191
Lactobacillus_helveticus	Hard	45	145
Lactobacillus_helveticus	Semihard	34	145
Lactobacillus_helveticus	Soft	10	145
Lactobacillus_helveticus	Very_hard	56	145
Lactococcus_cremoris	Hard	28	111
Lactococcus_cremoris	Semihard	56	111
Lactococcus_cremoris	Soft	14	111
Lactococcus_cremoris	Very_hard	13	111
Leuconostoc_mesenteroides	Hard	21	76
Leuconostoc_mesenteroides	Semihard	38	76
Leuconostoc_mesenteroides	Soft	8	76
Leuconostoc_mesenteroides	Very_hard	9	76
Lacticaseibacillus_rhamnosus	Hard	12	74
Lacticaseibacillus_rhamnosus	Semihard	21	74
Lacticaseibacillus_rhamnosus	Very_hard	41	74
Brevibacterium_aurantiacum	Hard	23	64
Brevibacterium_aurantiacum	Semihard	32	64
Brevibacterium_aurantiacum	Soft	7	64
Brevibacterium_aurantiacum	Very_hard	2	64
Lentilactobacillus_parabuchneri	Hard	13	58
Lentilactobacillus_parabuchneri	Semihard	36	58
Lentilactobacillus_parabuchneri	Soft	1	58
Lentilactobacillus_parabuchneri	Very_hard	8	58
Limosilactobacillus_fermentum	Hard	5	49
Limosilactobacillus_fermentum	Semihard	17	49
Limosilactobacillus_fermentum	Soft	4	49
Limosilactobacillus_fermentum	Very_hard	23	49
Debaryomyces_hansenii_group_1	Hard	21	47
Debaryomyces_hansenii_group_1	Semihard	21	47
Debaryomyces_hansenii_group_1	Soft	5	47
Staphylococcus_equorum	Hard	14	42
Staphylococcus_equorum	Semihard	28	42
Lacticaseibacillus_casei	Semihard	11	41
Lacticaseibacillus_casei	Very_hard	30	41
Latilactobacillus_curvatus	Hard	19	41
Latilactobacillus_curvatus	Semihard	20	41
Latilactobacillus_curvatus	Soft	2	41
Leuconostoc_lactis	Semihard	39	39
Propionibacterium_freudenreichii	Hard	10	38
Propionibacterium_freudenreichii	Semihard	19	38
Propionibacterium_freudenreichii	Very_hard	9	38
Lactiplantibacillus_plantarum	Hard	10	35
Lactiplantibacillus_plantarum	Semihard	16	35
Lactiplantibacillus_plantarum	Soft	1	35
Lactiplantibacillus_plantarum	Very_hard	8	35
Lentilactobacillus_buchneri	Hard	6	35
Lentilactobacillus_buchneri	Semihard	27	35
Lentilactobacillus_buchneri	Very_hard	2	35
Lactobacillus_SGB69402	Hard	17	31
Lactobacillus_SGB69402	Semihard	6	31
Lactobacillus_SGB69402	Soft	3	31
Lactobacillus_SGB69402	Very_hard	5	31
Glutamicibacter_ardleyensis	Hard	1	30
Glutamicibacter_ardleyensis	Semihard	14	30
Glutamicibacter_ardleyensis	Soft	12	30
Glutamicibacter_ardleyensis	Very_hard	3	30
Streptococcus_parauberis	Hard	2	28
Streptococcus_parauberis	Semihard	16	28
Streptococcus_parauberis	Soft	1	28
Streptococcus_parauberis	Very_hard	9	28
Leuconostoc_pseudomesenteroides	Hard	9	26
Leuconostoc_pseudomesenteroides	Semihard	14	26
Leuconostoc_pseudomesenteroides	Soft	2	26
Leuconostoc_pseudomesenteroides	Very_hard	1	26
Brachybacterium_tyrofermentans	Hard	2	23
Brachybacterium_tyrofermentans	Semihard	14	23
Brachybacterium_tyrofermentans	Soft	7	23
Escherichia_coli	Hard	9	22
Escherichia_coli	Semihard	5	22
Escherichia_coli	Soft	5	22
Escherichia_coli	Very_hard	3	22
Lactobacillus_SGB69401	Hard	5	22
Lactobacillus_SGB69401	Semihard	11	22
Lactobacillus_SGB69401	Soft	4	22
Lactobacillus_SGB69401	Very_hard	2	22
Schleiferilactobacillus_harbinensis	Hard	3	22
Schleiferilactobacillus_harbinensis	Semihard	4	22
Schleiferilactobacillus_harbinensis	Very_hard	15	22
Acinetobacter_albensis	Hard	1	21
Acinetobacter_albensis	Semihard	19	21
Acinetobacter_albensis	Very_hard	1	21
Lactococcus_raffinolactis	Hard	3	21
Lactococcus_raffinolactis	Semihard	10	21
Lactococcus_raffinolactis	Soft	5	21
Lactococcus_raffinolactis	Very_hard	3	21
Lentilactobacillus_otakiensis	Hard	1	21
Lentilactobacillus_otakiensis	Semihard	14	21
Lentilactobacillus_otakiensis	Very_hard	6	21
