phylum	Rheological_properties	unknowness
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Semihard	kSGB
Actinomycetota	Semihard	kSGB
Bacillota	Semihard	kSGB
Actinomycetota	Semihard	kSGB
Actinomycetota	Semihard	kSGB
Actinomycetota	Semihard	kSGB
Actinomycetota	Semihard	kSGB
Bacillota	Semihard	kSGB
Actinomycetota	Semihard	kSGB
Actinomycetota	Semihard	kSGB
Actinomycetota	Semihard	kSGB
Actinomycetota	Semihard	kSGB
Bacillota	Very_hard	uSGB
Bacillota	Very_hard	uSGB
Bacillota	Very_hard	uSGB
Bacillota	Hard	uSGB
Bacillota	Hard	uSGB
Bacillota	Hard	uSGB
Bacillota	Hard	uSGB
Bacillota	Hard	uSGB
Bacillota	Semihard	uSGB
Bacillota	Semihard	uSGB
Bacillota	Semihard	uSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Hard	uSGB
Bacillota	Hard	uSGB
Bacillota	Hard	uSGB
Bacillota	Hard	uSGB
Bacillota	Hard	uSGB
Bacillota	Hard	uSGB
Actinomycetota	Semihard	uSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Actinomycetota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Hard	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Pseudomonadota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Soft	kSGB
Bacillota	Very_hard	kSGB
Actinomycetota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Bacillota	Very_hard	kSGB
Actinomycetota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
Bacillota	Semihard	kSGB
