"abx_class","order","n_hits","total"
"acridine_dye","Actinomycetales",0,5
"acridine_dye","Enterobacterales",2,5
"acridine_dye","Lactobacillales",1,5
"acridine_dye","Mycobacteriales",0,5
"acridine_dye","Propionibacteriales",0,5
"acridine_dye","Pseudomonadales",1,5
"acridine_dye","Staphylococcales",1,5
"acridine_dye","Xanthomonadales",0,5
"aminocoumarin","Actinomycetales",1,13
"aminocoumarin","Enterobacterales",6,13
"aminocoumarin","Lactobacillales",3,13
"aminocoumarin","Mycobacteriales",0,13
"aminocoumarin","Propionibacteriales",0,13
"aminocoumarin","Pseudomonadales",2,13
"aminocoumarin","Staphylococcales",0,13
"aminocoumarin","Xanthomonadales",1,13
"aminoglycoside","Actinomycetales",0,18
"aminoglycoside","Enterobacterales",7,18
"aminoglycoside","Lactobacillales",6,18
"aminoglycoside","Mycobacteriales",0,18
"aminoglycoside","Propionibacteriales",0,18
"aminoglycoside","Pseudomonadales",2,18
"aminoglycoside","Staphylococcales",2,18
"aminoglycoside","Xanthomonadales",1,18
"benzalkonium_chloride","Actinomycetales",0,1
"benzalkonium_chloride","Enterobacterales",1,1
"benzalkonium_chloride","Lactobacillales",0,1
"benzalkonium_chloride","Mycobacteriales",0,1
"benzalkonium_chloride","Propionibacteriales",0,1
"benzalkonium_chloride","Pseudomonadales",0,1
"benzalkonium_chloride","Staphylococcales",0,1
"benzalkonium_chloride","Xanthomonadales",0,1
"carbapenem","Actinomycetales",0,14
"carbapenem","Enterobacterales",7,14
"carbapenem","Lactobacillales",3,14
"carbapenem","Mycobacteriales",0,14
"carbapenem","Propionibacteriales",0,14
"carbapenem","Pseudomonadales",3,14
"carbapenem","Staphylococcales",0,14
"carbapenem","Xanthomonadales",1,14
"cephalosporin","Actinomycetales",0,19
"cephalosporin","Enterobacterales",9,19
"cephalosporin","Lactobacillales",5,19
"cephalosporin","Mycobacteriales",0,19
"cephalosporin","Propionibacteriales",0,19
"cephalosporin","Pseudomonadales",3,19
"cephalosporin","Staphylococcales",1,19
"cephalosporin","Xanthomonadales",1,19
"cephamycin","Actinomycetales",0,17
"cephamycin","Enterobacterales",9,17
"cephamycin","Lactobacillales",5,17
"cephamycin","Mycobacteriales",0,17
"cephamycin","Propionibacteriales",0,17
"cephamycin","Pseudomonadales",2,17
"cephamycin","Staphylococcales",0,17
"cephamycin","Xanthomonadales",1,17
"diaminopyrimidine","Actinomycetales",0,9
"diaminopyrimidine","Enterobacterales",1,9
"diaminopyrimidine","Lactobacillales",5,9
"diaminopyrimidine","Mycobacteriales",0,9
"diaminopyrimidine","Propionibacteriales",0,9
"diaminopyrimidine","Pseudomonadales",2,9
"diaminopyrimidine","Staphylococcales",1,9
"diaminopyrimidine","Xanthomonadales",0,9
"fluoroquinolone","Actinomycetales",0,22
"fluoroquinolone","Enterobacterales",9,22
"fluoroquinolone","Lactobacillales",8,22
"fluoroquinolone","Mycobacteriales",0,22
"fluoroquinolone","Propionibacteriales",0,22
"fluoroquinolone","Pseudomonadales",3,22
"fluoroquinolone","Staphylococcales",1,22
"fluoroquinolone","Xanthomonadales",1,22
"fosfomycin","Actinomycetales",0,7
"fosfomycin","Enterobacterales",3,7
"fosfomycin","Lactobacillales",3,7
"fosfomycin","Mycobacteriales",0,7
"fosfomycin","Propionibacteriales",0,7
"fosfomycin","Pseudomonadales",0,7
"fosfomycin","Staphylococcales",0,7
"fosfomycin","Xanthomonadales",1,7
"fusidic_acid","Actinomycetales",0,1
"fusidic_acid","Enterobacterales",0,1
"fusidic_acid","Lactobacillales",0,1
"fusidic_acid","Mycobacteriales",0,1
"fusidic_acid","Propionibacteriales",0,1
"fusidic_acid","Pseudomonadales",0,1
"fusidic_acid","Staphylococcales",1,1
"fusidic_acid","Xanthomonadales",0,1
"glycopeptide","Actinomycetales",0,1
"glycopeptide","Enterobacterales",0,1
"glycopeptide","Lactobacillales",0,1
"glycopeptide","Mycobacteriales",0,1
"glycopeptide","Propionibacteriales",1,1
"glycopeptide","Pseudomonadales",0,1
"glycopeptide","Staphylococcales",0,1
"glycopeptide","Xanthomonadales",0,1
"glycylcycline","Actinomycetales",0,12
"glycylcycline","Enterobacterales",5,12
"glycylcycline","Lactobacillales",4,12
"glycylcycline","Mycobacteriales",0,12
"glycylcycline","Propionibacteriales",0,12
"glycylcycline","Pseudomonadales",1,12
"glycylcycline","Staphylococcales",1,12
"glycylcycline","Xanthomonadales",1,12
"lincosamide","Actinomycetales",0,7
"lincosamide","Enterobacterales",1,7
"lincosamide","Lactobacillales",6,7
"lincosamide","Mycobacteriales",0,7
"lincosamide","Propionibacteriales",0,7
"lincosamide","Pseudomonadales",0,7
"lincosamide","Staphylococcales",0,7
"lincosamide","Xanthomonadales",0,7
"macrolide","Actinomycetales",0,25
"macrolide","Enterobacterales",9,25
"macrolide","Lactobacillales",10,25
"macrolide","Mycobacteriales",1,25
"macrolide","Propionibacteriales",0,25
"macrolide","Pseudomonadales",3,25
"macrolide","Staphylococcales",1,25
"macrolide","Xanthomonadales",1,25
"monobactam","Actinomycetales",0,12
"monobactam","Enterobacterales",6,12
"monobactam","Lactobacillales",3,12
"monobactam","Mycobacteriales",0,12
"monobactam","Propionibacteriales",0,12
"monobactam","Pseudomonadales",2,12
"monobactam","Staphylococcales",0,12
"monobactam","Xanthomonadales",1,12
"nitrofuran","Actinomycetales",0,4
"nitrofuran","Enterobacterales",1,4
"nitrofuran","Lactobacillales",3,4
"nitrofuran","Mycobacteriales",0,4
"nitrofuran","Propionibacteriales",0,4
"nitrofuran","Pseudomonadales",0,4
"nitrofuran","Staphylococcales",0,4
"nitrofuran","Xanthomonadales",0,4
"nitroimidazole","Actinomycetales",0,6
"nitroimidazole","Enterobacterales",4,6
"nitroimidazole","Lactobacillales",1,6
"nitroimidazole","Mycobacteriales",0,6
"nitroimidazole","Propionibacteriales",0,6
"nitroimidazole","Pseudomonadales",1,6
"nitroimidazole","Staphylococcales",0,6
"nitroimidazole","Xanthomonadales",0,6
"nucleoside","Actinomycetales",0,2
"nucleoside","Enterobacterales",2,2
"nucleoside","Lactobacillales",0,2
"nucleoside","Mycobacteriales",0,2
"nucleoside","Propionibacteriales",0,2
"nucleoside","Pseudomonadales",0,2
"nucleoside","Staphylococcales",0,2
"nucleoside","Xanthomonadales",0,2
"oxazolidinone","Actinomycetales",0,2
"oxazolidinone","Enterobacterales",0,2
"oxazolidinone","Lactobacillales",1,2
"oxazolidinone","Mycobacteriales",0,2
"oxazolidinone","Propionibacteriales",0,2
"oxazolidinone","Pseudomonadales",0,2
"oxazolidinone","Staphylococcales",1,2
"oxazolidinone","Xanthomonadales",0,2
"penam","Actinomycetales",0,22
"penam","Enterobacterales",9,22
"penam","Lactobacillales",7,22
"penam","Mycobacteriales",1,22
"penam","Propionibacteriales",0,22
"penam","Pseudomonadales",3,22
"penam","Staphylococcales",1,22
"penam","Xanthomonadales",1,22
"penem","Actinomycetales",0,13
"penem","Enterobacterales",7,13
"penem","Lactobacillales",3,13
"penem","Mycobacteriales",0,13
"penem","Propionibacteriales",0,13
"penem","Pseudomonadales",2,13
"penem","Staphylococcales",0,13
"penem","Xanthomonadales",1,13
"peptide","Actinomycetales",0,15
"peptide","Enterobacterales",7,15
"peptide","Lactobacillales",4,15
"peptide","Mycobacteriales",0,15
"peptide","Propionibacteriales",0,15
"peptide","Pseudomonadales",2,15
"peptide","Staphylococcales",1,15
"peptide","Xanthomonadales",1,15
"phenicol","Actinomycetales",2,18
"phenicol","Enterobacterales",5,18
"phenicol","Lactobacillales",6,18
"phenicol","Mycobacteriales",0,18
"phenicol","Propionibacteriales",0,18
"phenicol","Pseudomonadales",3,18
"phenicol","Staphylococcales",1,18
"phenicol","Xanthomonadales",1,18
"pleuromutilin","Actinomycetales",0,1
"pleuromutilin","Enterobacterales",0,1
"pleuromutilin","Lactobacillales",1,1
"pleuromutilin","Mycobacteriales",0,1
"pleuromutilin","Propionibacteriales",0,1
"pleuromutilin","Pseudomonadales",0,1
"pleuromutilin","Staphylococcales",0,1
"pleuromutilin","Xanthomonadales",0,1
"rhodamine","Actinomycetales",0,1
"rhodamine","Enterobacterales",1,1
"rhodamine","Lactobacillales",0,1
"rhodamine","Mycobacteriales",0,1
"rhodamine","Propionibacteriales",0,1
"rhodamine","Pseudomonadales",0,1
"rhodamine","Staphylococcales",0,1
"rhodamine","Xanthomonadales",0,1
"rifamycin","Actinomycetales",0,13
"rifamycin","Enterobacterales",5,13
"rifamycin","Lactobacillales",5,13
"rifamycin","Mycobacteriales",1,13
"rifamycin","Propionibacteriales",0,13
"rifamycin","Pseudomonadales",1,13
"rifamycin","Staphylococcales",0,13
"rifamycin","Xanthomonadales",1,13
"streptogramin","Actinomycetales",0,4
"streptogramin","Enterobacterales",0,4
"streptogramin","Lactobacillales",4,4
"streptogramin","Mycobacteriales",0,4
"streptogramin","Propionibacteriales",0,4
"streptogramin","Pseudomonadales",0,4
"streptogramin","Staphylococcales",0,4
"streptogramin","Xanthomonadales",0,4
"tetracycline","Actinomycetales",0,20
"tetracycline","Enterobacterales",9,20
"tetracycline","Lactobacillales",6,20
"tetracycline","Mycobacteriales",0,20
"tetracycline","Propionibacteriales",0,20
"tetracycline","Pseudomonadales",3,20
"tetracycline","Staphylococcales",1,20
"tetracycline","Xanthomonadales",1,20
"triclosan","Actinomycetales",0,11
"triclosan","Enterobacterales",5,11
"triclosan","Lactobacillales",3,11
"triclosan","Mycobacteriales",0,11
"triclosan","Propionibacteriales",0,11
"triclosan","Pseudomonadales",2,11
"triclosan","Staphylococcales",0,11
"triclosan","Xanthomonadales",1,11
