"Rheology","abx_class","pct"
"Hard","acridine_dye",0
"Hard","aminocoumarin",30
"Hard","aminoglycoside",35
"Hard","benzalkonium_chloride",0
"Hard","carbapenem",30
"Hard","cephalosporin",30
"Hard","cephamycin",30
"Hard","diaminopyrimidine",20
"Hard","fluoroquinolone",30
"Hard","fosfomycin",10
"Hard","fusidic_acid",0
"Hard","glycopeptide",0
"Hard","glycylcycline",10
"Hard","lincosamide",5
"Hard","macrolide",35
"Hard","monobactam",30
"Hard","nitrofuran",0
"Hard","nitroimidazole",10
"Hard","nucleoside",0
"Hard","oxazolidinone",0
"Hard","penam",30
"Hard","penem",30
"Hard","peptide",30
"Hard","phenicol",30
"Hard","pleuromutilin",0
"Hard","rhodamine",0
"Hard","rifamycin",16.6666666666667
"Hard","streptogramin",5
"Hard","tetracycline",33.3333333333333
"Hard","triclosan",10
"Semihard","acridine_dye",7.14285714285714
"Semihard","aminocoumarin",31.1111111111111
"Semihard","aminoglycoside",47.7777777777778
"Semihard","benzalkonium_chloride",0
"Semihard","carbapenem",38.2539682539683
"Semihard","cephalosporin",42.5396825396825
"Semihard","cephamycin",42.5396825396825
"Semihard","diaminopyrimidine",20
"Semihard","fluoroquinolone",49.6825396825397
"Semihard","fosfomycin",16.6666666666667
"Semihard","fusidic_acid",0
"Semihard","glycopeptide",0
"Semihard","glycylcycline",32.0634920634921
"Semihard","lincosamide",9.64590964590965
"Semihard","macrolide",54.4444444444444
"Semihard","monobactam",31.1111111111111
"Semihard","nitrofuran",12.8571428571429
"Semihard","nitroimidazole",18.2539682539683
"Semihard","nucleoside",4.76190476190476
"Semihard","oxazolidinone",0
"Semihard","penam",47.3015873015873
"Semihard","penem",35.8730158730159
"Semihard","peptide",35.8730158730159
"Semihard","phenicol",35.8730158730159
"Semihard","pleuromutilin",0
"Semihard","rhodamine",0
"Semihard","rifamycin",27.0294784580499
"Semihard","streptogramin",4.76190476190476
"Semihard","tetracycline",44.9206349206349
"Semihard","triclosan",31.1111111111111
"Soft","acridine_dye",6.25
"Soft","aminocoumarin",2.5
"Soft","aminoglycoside",12.9166666666667
"Soft","benzalkonium_chloride",0
"Soft","carbapenem",2.5
"Soft","cephalosporin",38.6607142857143
"Soft","cephamycin",7.41071428571429
"Soft","diaminopyrimidine",8.75
"Soft","fluoroquinolone",30.327380952381
"Soft","fosfomycin",15
"Soft","fusidic_acid",0
"Soft","glycopeptide",12.5
"Soft","glycylcycline",8.75
"Soft","lincosamide",4.16666666666667
"Soft","macrolide",30.327380952381
"Soft","monobactam",7.41071428571429
"Soft","nitrofuran",8.75
"Soft","nitroimidazole",2.5
"Soft","nucleoside",0
"Soft","oxazolidinone",4.16666666666667
"Soft","penam",51.1607142857143
"Soft","penem",2.5
"Soft","peptide",2.5
"Soft","phenicol",6.66666666666667
"Soft","pleuromutilin",4.16666666666667
"Soft","rhodamine",0
"Soft","rifamycin",2.5
"Soft","streptogramin",4.16666666666667
"Soft","tetracycline",30.327380952381
"Soft","triclosan",2.5
"Very_hard","acridine_dye",5.92592592592593
"Very_hard","aminocoumarin",13.3333333333333
"Very_hard","aminoglycoside",17.037037037037
"Very_hard","benzalkonium_chloride",2.22222222222222
"Very_hard","carbapenem",13.3333333333333
"Very_hard","cephalosporin",28.1481481481481
"Very_hard","cephamycin",24.4444444444444
"Very_hard","diaminopyrimidine",3.7037037037037
"Very_hard","fluoroquinolone",17.037037037037
"Very_hard","fosfomycin",13.3333333333333
"Very_hard","fusidic_acid",0
"Very_hard","glycopeptide",11.1111111111111
"Very_hard","glycylcycline",17.037037037037
"Very_hard","lincosamide",13.3333333333333
"Very_hard","macrolide",33.7037037037037
"Very_hard","monobactam",13.3333333333333
"Very_hard","nitrofuran",0
"Very_hard","nitroimidazole",2.22222222222222
"Very_hard","nucleoside",2.22222222222222
"Very_hard","oxazolidinone",3.7037037037037
"Very_hard","penam",39.2592592592593
"Very_hard","penem",13.3333333333333
"Very_hard","peptide",22.5925925925926
"Very_hard","phenicol",17.037037037037
"Very_hard","pleuromutilin",0
"Very_hard","rhodamine",2.22222222222222
"Very_hard","rifamycin",24.4444444444444
"Very_hard","streptogramin",5.55555555555556
"Very_hard","tetracycline",22.5925925925926
"Very_hard","triclosan",13.3333333333333
