"gene","order","n_hits","total"
"bioH","Actinomycetales",2,30
"bioH","Bacillales_D",0,30
"bioH","Deinococcales",1,30
"bioH","Enterobacterales",15,30
"bioH","Lactobacillales",6,30
"bioH","Mycobacteriales",0,30
"bioH","Propionibacteriales",0,30
"bioH","Pseudomonadales",4,30
"bioH","Staphylococcales",1,30
"bioH","Tissierellales",0,30
"bioH","Xanthomonadales",1,30
"cobT","Actinomycetales",5,37
"cobT","Bacillales_D",0,37
"cobT","Deinococcales",1,37
"cobT","Enterobacterales",10,37
"cobT","Lactobacillales",5,37
"cobT","Mycobacteriales",5,37
"cobT","Propionibacteriales",2,37
"cobT","Pseudomonadales",6,37
"cobT","Staphylococcales",3,37
"cobT","Tissierellales",0,37
"cobT","Xanthomonadales",0,37
"folA","Actinomycetales",14,51
"folA","Bacillales_D",0,51
"folA","Deinococcales",3,51
"folA","Enterobacterales",6,51
"folA","Lactobacillales",16,51
"folA","Mycobacteriales",4,51
"folA","Propionibacteriales",0,51
"folA","Pseudomonadales",3,51
"folA","Staphylococcales",5,51
"folA","Tissierellales",0,51
"folA","Xanthomonadales",0,51
"folB","Actinomycetales",6,85
"folB","Bacillales_D",0,85
"folB","Deinococcales",3,85
"folB","Enterobacterales",14,85
"folB","Lactobacillales",39,85
"folB","Mycobacteriales",4,85
"folB","Propionibacteriales",1,85
"folB","Pseudomonadales",9,85
"folB","Staphylococcales",8,85
"folB","Tissierellales",0,85
"folB","Xanthomonadales",1,85
"folE","Actinomycetales",25,108
"folE","Bacillales_D",0,108
"folE","Deinococcales",4,108
"folE","Enterobacterales",18,108
"folE","Lactobacillales",42,108
"folE","Mycobacteriales",3,108
"folE","Propionibacteriales",0,108
"folE","Pseudomonadales",9,108
"folE","Staphylococcales",5,108
"folE","Tissierellales",1,108
"folE","Xanthomonadales",1,108
"folK","Actinomycetales",10,74
"folK","Bacillales_D",0,74
"folK","Deinococcales",3,74
"folK","Enterobacterales",14,74
"folK","Lactobacillales",24,74
"folK","Mycobacteriales",4,74
"folK","Propionibacteriales",1,74
"folK","Pseudomonadales",9,74
"folK","Staphylococcales",8,74
"folK","Tissierellales",0,74
"folK","Xanthomonadales",1,74
"folP","Actinomycetales",9,74
"folP","Bacillales_D",0,74
"folP","Deinococcales",4,74
"folP","Enterobacterales",13,74
"folP","Lactobacillales",28,74
"folP","Mycobacteriales",0,74
"folP","Propionibacteriales",0,74
"folP","Pseudomonadales",8,74
"folP","Staphylococcales",11,74
"folP","Tissierellales",0,74
"folP","Xanthomonadales",1,74
"ribA","Actinomycetales",3,31
"ribA","Bacillales_D",0,31
"ribA","Deinococcales",1,31
"ribA","Enterobacterales",12,31
"ribA","Lactobacillales",5,31
"ribA","Mycobacteriales",0,31
"ribA","Propionibacteriales",0,31
"ribA","Pseudomonadales",7,31
"ribA","Staphylococcales",2,31
"ribA","Tissierellales",0,31
"ribA","Xanthomonadales",1,31
"ribB","Actinomycetales",1,27
"ribB","Bacillales_D",0,27
"ribB","Deinococcales",0,27
"ribB","Enterobacterales",12,27
"ribB","Lactobacillales",9,27
"ribB","Mycobacteriales",0,27
"ribB","Propionibacteriales",0,27
"ribB","Pseudomonadales",3,27
"ribB","Staphylococcales",1,27
"ribB","Tissierellales",0,27
"ribB","Xanthomonadales",1,27
"ribBA","Actinomycetales",18,87
"ribBA","Bacillales_D",1,87
"ribBA","Deinococcales",5,87
"ribBA","Enterobacterales",9,87
"ribBA","Lactobacillales",29,87
"ribBA","Mycobacteriales",3,87
"ribBA","Propionibacteriales",0,87
"ribBA","Pseudomonadales",10,87
"ribBA","Staphylococcales",11,87
"ribBA","Tissierellales",1,87
"ribBA","Xanthomonadales",0,87
"ribD","Actinomycetales",18,95
"ribD","Bacillales_D",1,95
"ribD","Deinococcales",4,95
"ribD","Enterobacterales",17,95
"ribD","Lactobacillales",29,95
"ribD","Mycobacteriales",4,95
"ribD","Propionibacteriales",1,95
"ribD","Pseudomonadales",9,95
"ribD","Staphylococcales",11,95
"ribD","Tissierellales",0,95
"ribD","Xanthomonadales",1,95
"ribE","Actinomycetales",19,97
"ribE","Bacillales_D",1,97
"ribE","Deinococcales",4,97
"ribE","Enterobacterales",12,97
"ribE","Lactobacillales",36,97
"ribE","Mycobacteriales",4,97
"ribE","Propionibacteriales",1,97
"ribE","Pseudomonadales",8,97
"ribE","Staphylococcales",10,97
"ribE","Tissierellales",1,97
"ribE","Xanthomonadales",1,97
"ribF","Actinomycetales",24,137
"ribF","Bacillales_D",1,137
"ribF","Deinococcales",6,137
"ribF","Enterobacterales",20,137
"ribF","Lactobacillales",55,137
"ribF","Mycobacteriales",6,137
"ribF","Propionibacteriales",2,137
"ribF","Pseudomonadales",10,137
"ribF","Staphylococcales",11,137
"ribF","Tissierellales",1,137
"ribF","Xanthomonadales",1,137
"ribH","Actinomycetales",20,90
"ribH","Bacillales_D",1,90
"ribH","Deinococcales",4,90
"ribH","Enterobacterales",9,90
"ribH","Lactobacillales",30,90
"ribH","Mycobacteriales",4,90
"ribH","Propionibacteriales",1,90
"ribH","Pseudomonadales",9,90
"ribH","Staphylococcales",12,90
"ribH","Tissierellales",0,90
"ribH","Xanthomonadales",0,90
"ribU","Actinomycetales",2,44
