"gene","order","n_hits","total"
"gabP","Actinomycetales",5,17
"gabP","Bacillales_D",0,17
"gabP","Deinococcales",1,17
"gabP","Enterobacterales",3,17
"gabP","Lactobacillales",3,17
"gabP","Mycobacteriales",3,17
"gabP","Propionibacteriales",0,17
"gabP","Pseudomonadales",1,17
"gabP","Staphylococcales",1,17
"gabP","Tissierellales",0,17
"gabP","Xanthomonadales",0,17
"gabP_1","Actinomycetales",2,5
"gabP_1","Bacillales_D",0,5
"gabP_1","Deinococcales",0,5
"gabP_1","Enterobacterales",0,5
"gabP_1","Lactobacillales",1,5
"gabP_1","Mycobacteriales",0,5
"gabP_1","Propionibacteriales",0,5
"gabP_1","Pseudomonadales",2,5
"gabP_1","Staphylococcales",0,5
"gabP_1","Tissierellales",0,5
"gabP_1","Xanthomonadales",0,5
"gabP_2","Actinomycetales",2,5
"gabP_2","Bacillales_D",0,5
"gabP_2","Deinococcales",0,5
"gabP_2","Enterobacterales",0,5
"gabP_2","Lactobacillales",1,5
"gabP_2","Mycobacteriales",0,5
"gabP_2","Propionibacteriales",0,5
"gabP_2","Pseudomonadales",2,5
"gabP_2","Staphylococcales",0,5
"gabP_2","Tissierellales",0,5
"gabP_2","Xanthomonadales",0,5
"gadA","Actinomycetales",0,11
"gadA","Bacillales_D",0,11
"gadA","Deinococcales",0,11
"gadA","Enterobacterales",3,11
"gadA","Lactobacillales",4,11
"gadA","Mycobacteriales",2,11
"gadA","Propionibacteriales",0,11
"gadA","Pseudomonadales",1,11
"gadA","Staphylococcales",0,11
"gadA","Tissierellales",1,11
"gadA","Xanthomonadales",0,11
"gadB","Actinomycetales",0,7
"gadB","Bacillales_D",0,7
"gadB","Deinococcales",0,7
"gadB","Enterobacterales",0,7
"gadB","Lactobacillales",6,7
"gadB","Mycobacteriales",0,7
"gadB","Propionibacteriales",0,7
"gadB","Pseudomonadales",0,7
"gadB","Staphylococcales",1,7
"gadB","Tissierellales",0,7
"gadB","Xanthomonadales",0,7
"gadC","Actinomycetales",0,15
"gadC","Bacillales_D",0,15
"gadC","Deinococcales",0,15
"gadC","Enterobacterales",3,15
"gadC","Lactobacillales",11,15
"gadC","Mycobacteriales",1,15
"gadC","Propionibacteriales",0,15
"gadC","Pseudomonadales",0,15
"gadC","Staphylococcales",0,15
"gadC","Tissierellales",0,15
"gadC","Xanthomonadales",0,15
"kynA","Actinomycetales",10,20
"kynA","Bacillales_D",0,20
"kynA","Deinococcales",0,20
"kynA","Enterobacterales",1,20
"kynA","Lactobacillales",5,20
"kynA","Mycobacteriales",0,20
"kynA","Propionibacteriales",1,20
"kynA","Pseudomonadales",2,20
"kynA","Staphylococcales",1,20
"kynA","Tissierellales",0,20
"kynA","Xanthomonadales",0,20
"mtr","Actinomycetales",23,51
"mtr","Bacillales_D",0,51
"mtr","Deinococcales",2,51
