	Dataset	Accession	Run	Experiment	Study	Project	Database	Library_layout	Sequencing_platform	DNA_extraction_kit	Data_origin	Macrocategory	Category	Type	Subtype_sum	Subtype	Commercial_name	Part_of_cheese	EU_labelled	Type_of_EU_label	Year_of_registration	Milk_source	Specific_animal_breed	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Backslopping	Starter_culture	Inoculation_of_moulds	Coagulation_method	Curd_cutting	Technology_of_production	Temperature_of_curd_processing_Celsius_degree	Presence_of_rind	Rind_treatment	Ripening_period	Ripening_temperature_Celsius_degree	Ripening_relative_humidity	Fat_content_percentage	Rheological_properties	Moisture_content	Country	Region	City_or_area	Other_useful_details	source_database	accession_number	title	link	n_of_bases	n_of_reads	min_read_len	max_read_len	mean_read_len	median_read_len
1m-1_S9	PorcellatoD_2016	NA	raw_norm_1m-1	NA	NA	NA	MG-RAST	NA	Illumina_MiSeq	UltraClean_GelSpin	cFMD	Food	Dairy	Cheese	12	Dutch_type_cheese	NA	Core	No	None	NA	Cow	No	NA	Pasteurized	No	Yes	No	No	Selected	None	Rennet	NA	Cooked_curd	48_to_70	Yes	Washing	3_to_6_months	NA	NA	NA	Semihard	35_to_40	Norway	NA	NA	None	MG-RAST	mgp14606	Bacterial dynamics and functional analysis of microbial metagenomes during ripening of Dutch-type cheese	https://www.sciencedirect.com/science/article/pii/S0958694616301686	995065304	5054634	35	301	196.86	196.86
1m-2_S10	PorcellatoD_2016	NA	raw_norm_1m-2	NA	NA	NA	MG-RAST	NA	Illumina_MiSeq	UltraClean_GelSpin	cFMD	Food	Dairy	Cheese	12	Dutch_type_cheese	NA	Core	No	None	NA	Cow	No	NA	Pasteurized	No	Yes	No	No	Selected	None	Rennet	NA	Cooked_curd	48_to_70	Yes	Washing	3_to_6_months	NA	NA	NA	Semihard	35_to_40	Norway	NA	NA	None	MG-RAST	mgp14606	Bacterial dynamics and functional analysis of microbial metagenomes during ripening of Dutch-type cheese	https://www.sciencedirect.com/science/article/pii/S0958694616301686	971332167	4265480	35	301	227.72	227.72
1m-3_S11	PorcellatoD_2016	NA	raw_norm_1m-3	NA	NA	NA	MG-RAST	NA	Illumina_MiSeq	UltraClean_GelSpin	cFMD	Food	Dairy	Cheese	12	Dutch_type_cheese	NA	Core	No	None	NA	Cow	No	NA	Pasteurized	No	Yes	No	No	Selected	None	Rennet	NA	Cooked_curd	48_to_70	Yes	Washing	3_to_6_months	NA	NA	NA	Semihard	35_to_40	Norway	NA	NA	None	MG-RAST	mgp14606	Bacterial dynamics and functional analysis of microbial metagenomes during ripening of Dutch-type cheese	https://www.sciencedirect.com/science/article/pii/S0958694616301686	488358556	2000240	35	301	244.15	244.15
1m-4_S12	PorcellatoD_2016	NA	raw_norm_1m-4	NA	NA	NA	MG-RAST	NA	Illumina_MiSeq	UltraClean_GelSpin	cFMD	Food	Dairy	Cheese	12	Dutch_type_cheese	NA	Core	No	None	NA	Cow	No	NA	Pasteurized	No	Yes	No	No	Selected	None	Rennet	NA	Cooked_curd	48_to_70	Yes	Washing	3_to_6_months	NA	NA	NA	Semihard	35_to_40	Norway	NA	NA	None	MG-RAST	mgp14606	Bacterial dynamics and functional analysis of microbial metagenomes during ripening of Dutch-type cheese	https://www.sciencedirect.com/science/article/pii/S0958694616301686	257008713	1066806	35	301	240.91	240.91
24h-1_S1	PorcellatoD_2016	mgs335082	raw_norm_24h-1	mge335083	NA	NA	MG-RAST	NA	Illumina_MiSeq	UltraClean_GelSpin	cFMD	Food	Dairy	Cheese	12	Dutch_type_cheese	NA	Core	No	None	NA	Cow	No	NA	Pasteurized	No	Yes	No	No	Selected	None	Rennet	NA	Cooked_curd	48_to_70	Yes	Washing	3_to_6_months	NA	NA	NA	Semihard	35_to_40	Norway	NA	NA	None	MG-RAST	mgp14606	Bacterial dynamics and functional analysis of microbial metagenomes during ripening of Dutch-type cheese	https://www.sciencedirect.com/science/article/pii/S0958694616301686	812794778	4034646	35	301	201.45	201.45
24h-2_S3	PorcellatoD_2016	mgs335085	raw_norm_24h-2	mge335086	NA	NA	MG-RAST	NA	Illumina_MiSeq	UltraClean_GelSpin	cFMD	Food	Dairy	Cheese	12	Dutch_type_cheese	NA	Core	No	None	NA	Cow	No	NA	Pasteurized	No	Yes	No	No	Selected	None	Rennet	NA	Cooked_curd	48_to_70	Yes	Washing	3_to_6_months	NA	NA	NA	Semihard	35_to_40	Norway	NA	NA	None	MG-RAST	mgp14606	Bacterial dynamics and functional analysis of microbial metagenomes during ripening of Dutch-type cheese	https://www.sciencedirect.com/science/article/pii/S0958694616301686	553746075	2563074	35	301	216.05	216.05
24h-3_S5	PorcellatoD_2016	mgs335088	raw_norm_24h-3	mge335089	NA	NA	MG-RAST	NA	Illumina_MiSeq	UltraClean_GelSpin	cFMD	Food	Dairy	Cheese	12	Dutch_type_cheese	NA	Core	No	None	NA	Cow	No	NA	Pasteurized	No	Yes	No	No	Selected	None	Rennet	NA	Cooked_curd	48_to_70	Yes	Washing	3_to_6_months	NA	NA	NA	Semihard	35_to_40	Norway	NA	NA	None	MG-RAST	mgp14606	Bacterial dynamics and functional analysis of microbial metagenomes during ripening of Dutch-type cheese	https://www.sciencedirect.com/science/article/pii/S0958694616301686	651591601	3037660	35	301	214.5	214.5
24h-4_S7	PorcellatoD_2016	mgs335091	raw_norm_24h-4	mge335092	NA	NA	MG-RAST	NA	Illumina_MiSeq	UltraClean_GelSpin	cFMD	Food	Dairy	Cheese	12	Dutch_type_cheese	NA	Core	No	None	NA	Cow	No	NA	Pasteurized	No	Yes	No	No	Selected	None	Rennet	NA	Cooked_curd	48_to_70	Yes	Washing	3_to_6_months	NA	NA	NA	Semihard	35_to_40	Norway	NA	NA	None	MG-RAST	mgp14606	Bacterial dynamics and functional analysis of microbial metagenomes during ripening of Dutch-type cheese	https://www.sciencedirect.com/science/article/pii/S0958694616301686	920944400	4369612	35	301	210.76	210.76
282_Bethlehem	WolfeBE_2014	mgs113938	282_Bethlehem	mge113939	NA	NA	MG-RAST	NA	Illumina_HiSeq_2000	PowerSoil	cFMD	Food	Dairy	Cheese	1	Bethlehem	Abbey_of_Regina_Laudis	Rind	No	None	NA	Cow	No	NA	Pasteurized	No	Yes	NA	No	Selected	None	Rennet	NA	NA	NA	Yes	NA	1_to_3_months	12	NA	NA	NA	NA	USA	NA	NA	362_cheese_rinds_collected_from_10_countries;_dominant_genera_include_Staphylococcus	MG-RAST	mgp3362	Cheese rind communities provide tractable systems for in situ and in vitro studies of microbial diversity	https://www.cell.com/fulltext/S0092-8674(14)00745-4	843800800	8438008	100	100	100	100
316_Langre	WolfeBE_2014	mgs113941	316_Langre	mge113942	NA	NA	MG-RAST	NA	Illumina_HiSeq_2000	PowerSoil	cFMD	Food	Dairy	Cheese	2	Langres	Scherteinleb	Rind	Yes	PDO	1996	Cow	Pie_Rouge_de_Est_and_other_local_breeds	Pasture	Raw	No	No	No	No	Selected	None	Rennet	Large	Uncooked	No_heating_beyond_coagulation	Yes	Washing	1_to_3_months	NA	NA	50	Soft	Over_40	France	Grand_Est_and_Burgundy	Haute_Marne_entire_Vosges_Neufch�teau_C�te_d_Or_selected_communes	None	MG-RAST	mgp3362	Cheese rind communities provide tractable systems for in situ and in vitro studies of microbial diversity	https://www.cell.com/fulltext/S0092-8674(14)00745-4	695018800	6950188	100	100	100	100
