SampleID,Shannon,Simpson,Pielou
1m-1_S9,5,0.25103313,0.897564757
1m-2_S10,5,0.258275516,0.896769205
1m-3_S11,4,0.343943405,0.849637412
1m-4_S12,4,0.334743783,0.859597121
24h-1_S1,6,0.291424103,0.850614617
24h-2_S3,4,0.273930798,0.86392728
24h-3_S5,4,0.263651894,0.877796323
24h-4_S7,5,0.272443568,0.872044194
282_Bethlehem,20,1.165854376,0.487658052
316_Langre,38,2.279800461,0.163647996
319_Tarentaise,26,2.077376609,0.211738365
322_Camembert,22,1.13266351,0.476990242
337_Mileens,31,2.274059017,0.163024991
340_Comte,54,2.828449442,0.079103893
365_Stichelton,31,2.009436783,0.202791413
380_Stawley,13,1.321745652,0.380127721
3m-1_S2,5,0.329572635,0.85455643
3m-2_S4,5,0.538263631,0.757913463
3m-3_S6,7,0.558598511,0.747067439
3m-4_S8,5,0.334863829,0.865048347
491_Bayley,23,1.698695535,0.229586739
575_CabotClothbound,22,2.196461159,0.148531299
581_Moses_Sleeper,7,1.070328903,0.381356507
623_Maggies_Round,7,1.308341424,0.297508075
626_Red_Hawk,26,1.773860929,0.208397892
671_Grayson,53,2.436228623,0.140499216
679_Raclette,37,2.237542699,0.159005894
705_Forme_dAmbert,22,1.278608338,0.506366345
711_Garroxta,35,1.457770227,0.450157013
771_Tarentaise,26,1.899193992,0.233321435
873_Challerhocker,43,0.938599737,0.700277278
894_Twig_Tomme,34,2.115665975,0.171037183
917_Abondance,57,2.757543074,0.114391441
926_Bonne_Buche,7,0.539987006,0.756261563
932_Robiola_due_Latte,16,1.130427863,0.402147245
950_Rush_Creek,40,1.686290075,0.272554632
A-27.0,18,0.591951534,0.697003447
A-28.0,24,0.745787726,0.59684831
AF65,17,1.254048298,0.344188719
AS001_71775,42,1.434397537,0.318452532
AS003_73417,21,0.455000943,0.809100925
AS005_71775,46,0.657238789,0.670659246
AS006_71775,20,0.931832893,0.448475842
AS102_71775,17,0.090395701,0.970005636
AS107_71775,57,0.914785052,0.619037744
AS111_71775,36,0.669662289,0.735925577
AS112_71775,20,1.133604566,0.381137975
AS202_73417,31,0.603422339,0.646338259
AS207_73417,44,1.046524185,0.452802344
AS211_71775,38,1.688049032,0.213182496
AS212_71775,38,1.344316132,0.294495793
Alex_1,45,2.031093774,0.298994248
Alex_2,25,1.977674428,0.20128688
Alex_3,8,0.545563606,0.74336476
Alex_4,9,1.148542181,0.428467754
Alex_5,10,1.315162247,0.323623505
Alex_6,5,0.932909577,0.436226396
Alex_7,7,1.125047353,0.435791166
Alex_8,11,0.773971322,0.574600722
Alex_9,7,0.39331173,0.815492368
B-27.0,6,0.847378357,0.50887331
B-28.0,5,0.810397498,0.531721527
C-27.0,7,0.900921132,0.476572056
C-28.0,5,0.877821946,0.493624602
CF008_71775,53,0.853602087,0.597611862
CM008_71775,51,1.147186797,0.392258307
CS001_71775,55,1.338765141,0.337282466
CS005_71775,40,0.600453471,0.685586299
CS007_71775,65,0.693674339,0.674172628
CSB307,34,2.292808124,0.138220656
CSB341,31,1.822884987,0.225979436
CSB387,20,1.660133499,0.245518831
CSB409,42,2.630414604,0.109987504
CSB600,17,1.678264005,0.251253014
CSB619,9,1.067835312,0.391119791
CSB694,27,2.111763101,0.180008514
CSB720,26,0.42636695,0.860210418
CSB726,9,0.809870089,0.507761122
CSB729,23,1.893882367,0.186631668
CSB734,20,1.85776943,0.218933884
CSB737,10,1.075880291,0.455321179
CSB739,22,1.893724319,0.19408927
CSB870,18,1.506809168,0.26561555
CSB875,35,1.216871615,0.48834992
CSB888,13,1.560749939,0.289944253
CSB907,22,1.520830621,0.304302652
CSB962,18,1.687053233,0.239957706
ChH,0,0,0
D-27.0,7,0.790284131,0.551102007
D-28.0,7,0.857708362,0.50651106
DC18-04-AC,4,0.959845755,0.417332627
DC18-04-AR,8,1.062337494,0.356942097
DC18-04-BC,4,1.019137913,0.383405529
DC18-04-BR,5,1.0477136,0.364242587
DC18-F-AC,9,1.120341967,0.372802782
DC18-F-AR,24,1.594166591,0.305124642
DC18-F-BC,7,1.024499061,0.40590455
DC18-F-BR,30,1.598888218,0.249593103
DF_100,31,1.459769835,0.319846992
DF_101,64,2.060046154,0.238994755
DF_102,64,1.107063592,0.584235089
DF_104,43,0.967318009,0.605080325
DF_109,31,0.343913822,0.860582994
DF_11,63,2.057052119,0.193655564
DF_113,36,0.874660654,0.576962375
DF_114,47,2.05149096,0.231081914
DF_115,100,1.985876843,0.27777998
DF_117,46,0.983920744,0.58834291
DF_118,27,1.243170844,0.379482317
DF_119,45,1.007807953,0.430544975
DF_121,55,1.737700978,0.343666561
DF_122,33,0.539986038,0.768248222
DF_123,23,0.336304315,0.869022471
DF_127,8,0.819598212,0.576719985
DF_128,14,0.738447839,0.610374578
DF_129,7,0.039928073,0.989505986
DF_130,12,0.365561378,0.807557025
DF_131,29,1.330709831,0.429852446
DF_132,15,0.590055085,0.772762026
DF_134,29,1.081051254,0.483670437
DF_137,12,0.868847323,0.465166882
DF_139,9,0.641126032,0.623668163
DF_140,28,0.850892004,0.496755283
DF_141,13,0.927977255,0.482078438
DF_15,15,1.257545809,0.365693572
DF_16,57,1.270684401,0.374280225
DF_17,41,0.571493933,0.75180546
DF_18,36,1.775677372,0.259552504
DF_194,9,1.27762581,0.34230465
DF_211,18,1.228508871,0.368364537
DF_222,28,1.528053942,0.27651292
DF_23,38,0.995278602,0.465771806
DF_25,10,0.993421822,0.422106593
DF_26,27,0.429692033,0.826247094
DF_28,36,0.638952258,0.711600057
DF_29,17,0.246099389,0.910889266
DF_30,29,0.578107587,0.704758101
DF_31,65,1.174929961,0.330182391
DF_32,35,2.055032029,0.157918923
DF_33,72,1.560549595,0.335134267
DF_34,85,1.852905863,0.255149462
DF_35,35,0.668915106,0.735009156
DF_36,15,0.85884596,0.474021955
DF_37,98,1.714839345,0.351703253
DF_38,22,0.947337125,0.442385272
DF_39,33,1.592837171,0.260584798
DF_4,47,1.879644655,0.287086268
DF_40,25,0.682357469,0.726661347
DF_41,129,1.770366839,0.31223819
DF_42,67,1.292595028,0.378890181
DF_43,28,0.141683887,0.947886633
DF_44,34,0.799452972,0.486200416
DF_45,32,0.884475425,0.560168869
DF_47,24,0.235844601,0.921480644
DF_5,42,1.722928387,0.246742427
DF_52,30,0.465081232,0.820240215
DF_54,48,1.35894782,0.306333013
DF_58,25,1.056971047,0.476966781
DF_59,21,0.75621838,0.530477368
DF_6,54,0.561293559,0.778349982
DF_60,17,0.794461524,0.646659017
DF_61,12,0.943185524,0.540520156
DF_62,25,0.713886542,0.601920571
DF_67,65,1.66800877,0.346022957
DF_7,74,2.331172211,0.122460594
DF_73,12,1.021291734,0.398676023
DF_74,9,0.639984563,0.575959139
DF_75,39,1.240040364,0.451810178
DF_76,14,1.005280943,0.441146556
DF_77,56,1.71029664,0.287485383
DF_79,103,2.147047162,0.208845523
DF_8,26,1.157083647,0.42430624
DF_85,30,0.281335206,0.917366308
DF_86,35,1.116836663,0.428915552
DF_88,59,1.594238474,0.286285474
DF_9,32,1.181278482,0.349082577
DF_92,59,1.815844114,0.219680588
DF_94,20,1.01509327,0.441398112
DF_95,28,1.488096164,0.304840561
DF_96,39,0.925114593,0.617651761
DF_99,8,0.212269238,0.917261349
E-27.0,6,0.669899889,0.634003274
E-28.0,5,0.680201062,0.625941935
ERS2032089,11,0.923740934,0.457388669
ERS2032090,17,0.660466449,0.638408326
ERS2032091,13,0.941612437,0.455523523
ERS2032092,17,1.008816281,0.445169122
ERS2032093,8,0.887932685,0.458142332
ERS2032094,9,0.851137643,0.522509726
ERS2032095,11,0.658273892,0.665268956
ERS2032096,13,0.864420847,0.489806758
ERS2032097,11,0.872315644,0.46371684
ERS2032098,7,0.82253639,0.539664165
ERS2032099,10,0.751484818,0.578438064
ERS2032100,11,0.836286277,0.552980073
ERS2032101,9,0.910322039,0.465830247
ERS2032102,13,1.409176871,0.292820917
ERS2032103,25,1.546903881,0.271374919
ERS2032104,24,1.607631956,0.291281529
ERS2032105,10,0.897447531,0.453089814
ERS2032106,20,1.578695372,0.244988572
ERS2032107,20,1.648183928,0.24962918
ERS2032108,17,1.135105358,0.429512873
ERS2032109,9,0.90519176,0.458251586
ERS2032110,20,1.560209395,0.252047764
ERS2032111,24,1.574003382,0.264039869
ERS2032112,26,1.308153643,0.388677887
ERS2032113,12,0.918583389,0.4492708
ERS2032114,20,1.49981977,0.320782472
ERS2032115,13,1.278784695,0.332470711
ERS2032116,18,1.907558708,0.194167611
ERS2032117,11,0.916291802,0.465311278
ERS2032118,15,1.674192238,0.2460212
ERS2032119,13,1.841843087,0.18999271
ERS2032120,14,1.808855495,0.188254811
ERS2032121,9,0.901677127,0.450959832
ERS2032122,17,1.757560121,0.215356705
ERS2032123,15,1.807528827,0.205054959
ERS2032124,18,1.689259096,0.234006128
ERS2032125,3,0.670215685,0.539391425
ERS2032126,3,0.678150473,0.529519337
ERS2032127,3,0.662761878,0.543566863
ERS2032128,6,0.339105285,0.864273275
ERS2032129,4,0.376122633,0.835773621
ERS2032130,4,0.393721849,0.825098885
ERS2061097,4,0.344900808,0.825694078
ERS2061098,4,0.429180332,0.795784376
ERS2061099,4,0.415235311,0.77898217
ERS2061100,4,0.45369242,0.776069486
ERS2061101,4,0.285168246,0.867176037
ERS2061102,4,0.403721587,0.809428762
ERS3466718,18,1.037115479,0.461365832
ERS3466719,12,0.708801672,0.727491045
ERS3466720,6,0.439337719,0.792926588
ERS3466721,4,0.690757041,0.50907107
ERS3466722,5,0.467597513,0.774105733
ERS3466723,9,1.334593054,0.289790507
ERS3466724,5,0.907493515,0.478833717
ERS3466725,5,0.763487672,0.527393644
ERS3466726,4,0.971122495,0.489749581
ERS3466727,14,0.842291813,0.61983352
ERS3466728,12,0.778060595,0.583284889
ERS3466729,15,1.083137019,0.492093308
ERS3466730,9,0.927166042,0.486707541
ERS3466731,7,0.671680604,0.659149722
ERS3466732,3,0.156824428,0.937803832
