,Part_of_cheese,Agrococcus_casei,Alkalibacterium_SGB96934,Alkalibacterium_gilvum,Brachybacterium_SGB87477,Brachybacterium_SGB93118,Brachybacterium_alimentarium,Brachybacterium_tyrofermentans,Brevibacterium_SGB93100,Brevibacterium_SGB98807,Brevibacterium_aurantiacum,Brevibacterium_casei,Brevibacterium_sp_239c,Brevibacterium_sp_S111,Brevibacterium_sp_S22,Brevibacterium_yomogidense,Brochothrix_thermosphacta,Corynebacterium_casei,Corynebacterium_variabile,Debaryomyces_hansenii_group_1,Escherichia_coli,Flaviflexus_ciconiae,GGB42949_SGB60172,GGB48227_SGB66234,GGB49272_SGB69136,GGB52421_SGB73284,Garicola_SGB98753,Glutamicibacter_arilaitensis,Hafnia_paralvei,Halomonas_SGB69225,Halomonas_sp_1M45,Lacticaseibacillus_casei,Lacticaseibacillus_paracasei,Lacticaseibacillus_rhamnosus,Lacticaseibacillus_zeae,Lactiplantibacillus_plantarum,Lactobacillus_delbrueckii,Lactobacillus_helveticus,Lactococcus_cremoris,Lactococcus_lactis,Lactococcus_laudensis,Lactococcus_raffinolactis,Latilactobacillus_curvatus,Lentilactobacillus_otakiensis,Lentilactobacillus_parabuchneri,Leuconostoc_lactis,Leuconostoc_mesenteroides,Leuconostoc_pseudomesenteroides,Levilactobacillus_brevis,Limosilactobacillus_fermentum,Microbacterium_SGB99069,Penicillium_camemberti,Penicillium_roqueforti,Propionibacterium_freudenreichii,Pseudoalteromonas_nigrifaciens,Psychrobacter_immobilis,Psychrobacter_sp_FME13,Ruania_SGB99014,Staphylococcus_equorum,Staphylococcus_saprophyticus,Staphylococcus_xylosus,Streptococcus_equinus,Streptococcus_suis,Streptococcus_thermophilus,Tetragenococcus_halophilus,Tetragenococcus_koreensis
PDO_018,Core,0,0,0,0,0,0.00535079592417517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225850964594587,0,0,0,0,0,3.14930932031383,2.77251416196023,2.78304339618762,0,0,0,0,0,1.35052482153029,0.0142074869843688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926_Bonne_Buche,Rind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19335867320611,0,0,0,0,0,0,0,0,0,0,0,0,0.323090238613668,0,0,0,0,0,4.47109270142536,2.30505803275644,0.812648738710293,0,0,0,0,0,0.207160500140873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDO_009,Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8027258650985,3.07691616229419,3.10246184412832,0,0,0,0,0,1.04821363186772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex_5,Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346163649691083,0,0.0161364326570272,0,0,3.24340853199145,3.42845655991711,0.160811220241993,0,0,0,0,0,0.125192694870285,2.27296434792208,1.51705884290591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDO_013,Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649195105987903,2.45653838105512,0.0354350961616845,0,0,0,0,0,0,0.713336560508656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23991351629312,0,0
DF_26,Core,0.00145893523624406,0,0,0,0,0,0,0,0,0.0185174881329938,0,0,0,0,0,0,0.0174174320370681,0,0.518174554107029,0,0,0,0,0,0,0,0,0,0,0,0,0.532530262267981,0,0,0,0.0125212805536717,0,0.289260825564996,1.96330652229833,0,0.0130248077226895,0,0,0.00225745004121521,0,0.62135038174026,0.0286360465363321,0,0,0,0,0,0,0,0,0,0,0.0128569935025084,0,0,0,0.0184932184336632,4.52118437281529,0,0
PDO_054,Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200793576302596,3.98723956101898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86255663413156,0,0
PDO_056,Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38878312532945,3.84086029038958,0.0022732292554173,0.00369693590346362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDO_021,Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321893006101316,0,0,0,0.10508510553594,0,0,0,0,0,4.04132595173583,0.78270631384381,2.24934143409206,0,0,0.276940330207716,0.00108134813231218,0,0.00418115477709027,1.31871881341561,0.0812153454035513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDO_040,Core,0,0,0,0,0,0.23575496092879,0.124394263029815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308203702076,0,0,0,0,0,0,0,0.753027704427684,3.76250126580724,2.7473386138869,0,0,0,0,0,0.779666552826765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
